id,date,commodity,unit,min,max,avg
117,2026-01-02,काउली स्थानिय,के.जी.,55.0,70.0,61.0
118,2026-01-02,काक्रो(लोकल),के.जी.,90.0,110.0,100.0
119,2026-01-02,काक्रो(हाइब्रीड),के जी,35.0,40.0,37.5
120,2026-01-02,कागती,के.जी.,80.0,90.0,85.0
121,2026-01-02,किवि,केजी,250.0,350.0,300.0
122,2026-01-02,कुरीलो,के.जी.,1800.0,2200.0,2000.0
123,2026-01-02,केरा(नेपाली),दर्जन,180.0,200.0,190.0
124,2026-01-02,खुर्सानी हरियो(बुलेट),के जी,90.0,110.0,100.0
125,2026-01-02,खुर्सानी हरियो(माछे),के जी,80.0,100.0,90.0
126,2026-01-02,खुर्सानी हरियो(लाम्चो),के जी,80.0,110.0,96.67
127,2026-01-02,खु्र्सानी सुकेको,के.जी.,380.0,420.0,400.0
128,2026-01-02,गाजर(तराई),केजी,60.0,70.0,65.0
129,2026-01-02,गाजर(लोकल),के.जी.,70.0,80.0,75.0
130,2026-01-02,गान्टे मूला,के.जी.,70.0,80.0,75.0
131,2026-01-02,गुन्दुक,के.जी.,350.0,400.0,375.0
132,2026-01-02,गोलभेडा ठूलो(नेपाली),के.जी.,100.0,120.0,110.0
133,2026-01-02,गोलभेडा ठूलो(भारतीय),केजी,110.0,120.0,115.0
134,2026-01-02,गोलभेडा सानो(टनेल),के जी,80.0,90.0,87.0
135,2026-01-02,गोलभेडा सानो(तराई),के जी,90.0,100.0,93.75
136,2026-01-02,गोलभेडा सानो(भारतीय),के जी,90.0,100.0,95.0
137,2026-01-02,गोलभेडा सानो(लोकल),के.जी.,70.0,90.0,77.5
138,2026-01-02,ग्याठ कोबी,के.जी.,70.0,85.0,77.5
139,2026-01-02,घिउ सिमी(राजमा),केजी,140.0,150.0,145.0
140,2026-01-02,घिउ सिमी(लोकल),के.जी.,80.0,100.0,90.0
141,2026-01-02,घिउ सिमी(हाइब्रीड),केजी,80.0,90.0,85.0
142,2026-01-02,घिरौला,के.जी.,90.0,110.0,100.0
143,2026-01-02,चमसूरको साग,के.जी.,60.0,80.0,70.0
144,2026-01-02,चुकुन्दर,के.जी.,70.0,80.0,75.0
145,2026-01-02,च्याउ(कन्य),के.जी.,90.0,120.0,105.0
146,2026-01-02,च्याउ(डल्ले),के जी,300.0,350.0,325.0
147,2026-01-02,छ्यापी सुकेको,के.जी.,180.0,200.0,190.0
148,2026-01-02,छ्यापी हरियो,के.जी.,150.0,180.0,165.0
149,2026-01-02,जिरीको साग,के.जी.,120.0,150.0,135.0
